"Name","Calls","TotalDurationNs","AverageNs","Percentage"
"void gunrock::operators::advance::block_mapped::block_mapped_kernel<256u, 1u, (gunrock::operators::advance_io_type_t)1, (gunrock::operators::advance_io_type_t)1, gunrock::graph::graph_t<(gunrock::memory::memory_space_t)0, int, int, float, gunrock::graph::graph_csr_t<(gunrock::memory::memory_space_t)0, int, int, float> >, int, int, gunrock::bfs::enactor_t<gunrock::bfs::problem_t<gunrock::graph::graph_t<(gunrock::memory::memory_space_t)0, int, int, float, gunrock::graph::graph_csr_t<(gunrock::memory::memory_space_t)0, int, int, float> >, gunrock::bfs::param_t<int>, gunrock::bfs::result_t<int> > >::loop(gunrock::gcuda::multi_context_t&)::{lambda(int const&, int const&, int const&, float const&)#1}>(gunrock::graph::graph_t<(gunrock::memory::memory_space_t)0, int, int, float, gunrock::graph::graph_csr_t<(gunrock::memory::memory_space_t)0, int, int, float> >, gunrock::bfs::enactor_t<gunrock::bfs::problem_t<gunrock::graph::graph_t<(gunrock::memory::memory_space_t)0, int, int, float, gunrock::graph::graph_csr_t<(gunrock::memory::memory_space_t)0, int, int, float> >, gunrock::bfs::param_t<int>, gunrock::bfs::result_t<int> > >::loop(gunrock::gcuda::multi_context_t&)::{lambda(int const&, int const&, int const&, float const&)#1}, int*, int*, unsigned long, int*) [clone .kd]",201,41757569,207749,69.59880768434903
"void thrust::hip_rocprim::__parallel_for::kernel<256u, thrust::hip_rocprim::__transform::unary_transform_f<thrust::detail::normal_iterator<thrust::device_ptr<int const> >, thrust::device_ptr<int>, thrust::hip_rocprim::__transform::no_stencil_tag, thrust::identity<int>, thrust::hip_rocprim::__transform::always_true_predicate>, long, 1u>(thrust::hip_rocprim::__transform::unary_transform_f<thrust::detail::normal_iterator<thrust::device_ptr<int const> >, thrust::device_ptr<int>, thrust::hip_rocprim::__transform::no_stencil_tag, thrust::identity<int>, thrust::hip_rocprim::__transform::always_true_predicate>, long, long) [clone .kd]",2,6270924,3135462,10.451969401742922
"void thrust::hip_rocprim::__parallel_for::kernel<256u, thrust::hip_rocprim::__transform::unary_transform_f<thrust::detail::normal_iterator<thrust::device_ptr<float const> >, thrust::device_ptr<float>, thrust::hip_rocprim::__transform::no_stencil_tag, thrust::identity<float>, thrust::hip_rocprim::__transform::always_true_predicate>, long, 1u>(thrust::hip_rocprim::__transform::unary_transform_f<thrust::detail::normal_iterator<thrust::device_ptr<float const> >, thrust::device_ptr<float>, thrust::hip_rocprim::__transform::no_stencil_tag, thrust::identity<float>, thrust::hip_rocprim::__transform::always_true_predicate>, long, long) [clone .kd]",1,6048362,6048362,10.081017495135425
"void rocprim::detail::block_reduce_kernel<false, rocprim::detail::wrapped_reduce_config<rocprim::default_config, int>, int, thrust::hip_rocprim::transform_input_iterator_t<int, thrust::counting_iterator<unsigned long, thrust::use_default, thrust::use_default, thrust::use_default>, gunrock::operators::advance::compute_output_length<gunrock::graph::graph_t<(gunrock::memory::memory_space_t)0, int, int, float, gunrock::graph::graph_csr_t<(gunrock::memory::memory_space_t)0, int, int, float> >, gunrock::frontier::frontier_t<int, int, (gunrock::frontier::frontier_kind_t)0, (gunrock::frontier::frontier_view_t)0> >(gunrock::graph::graph_t<(gunrock::memory::memory_space_t)0, int, int, float, gunrock::graph::graph_csr_t<(gunrock::memory::memory_space_t)0, int, int, float> >&, gunrock::frontier::frontier_t<int, int, (gunrock::frontier::frontier_kind_t)0, (gunrock::frontier::frontier_view_t)0>&, gunrock::gcuda::standard_context_t&, bool)::{lambda(unsigned long const&)#1}>, int*, int, thrust::plus<int> >(thrust::hip_rocprim::transform_input_iterator_t<int, thrust::counting_iterator<unsigned long, thrust::use_default, thrust::use_default, thrust::use_default>, gunrock::operators::advance::compute_output_length<gunrock::graph::graph_t<(gunrock::memory::memory_space_t)0, int, int, float, gunrock::graph::graph_csr_t<(gunrock::memory::memory_space_t)0, int, int, float> >, gunrock::frontier::frontier_t<int, int, (gunrock::frontier::frontier_kind_t)0, (gunrock::frontier::frontier_view_t)0> >(gunrock::graph::graph_t<(gunrock::memory::memory_space_t)0, int, int, float, gunrock::graph::graph_csr_t<(gunrock::memory::memory_space_t)0, int, int, float> >&, gunrock::frontier::frontier_t<int, int, (gunrock::frontier::frontier_kind_t)0, (gunrock::frontier::frontier_view_t)0>&, gunrock::gcuda::standard_context_t&, bool)::{lambda(unsigned long const&)#1}>, unsigned long, int*, int, thrust::plus<int>) [clone .kd]",33,3758584,113896,6.264564035839139
"void thrust::hip_rocprim::__parallel_for::kernel<256u, thrust::hip_rocprim::__uninitialized_fill::functor<thrust::device_ptr<int>, int>, unsigned long, 1u>(thrust::hip_rocprim::__uninitialized_fill::functor<thrust::device_ptr<int>, int>, unsigned long, unsigned long) [clone .kd]",206,889446,4317,1.4824709048463407
"void rocprim::detail::block_reduce_kernel<true, rocprim::detail::wrapped_reduce_config<rocprim::default_config, int>, int, thrust::hip_rocprim::transform_input_iterator_t<int, thrust::counting_iterator<unsigned long, thrust::use_default, thrust::use_default, thrust::use_default>, gunrock::operators::advance::compute_output_length<gunrock::graph::graph_t<(gunrock::memory::memory_space_t)0, int, int, float, gunrock::graph::graph_csr_t<(gunrock::memory::memory_space_t)0, int, int, float> >, gunrock::frontier::frontier_t<int, int, (gunrock::frontier::frontier_kind_t)0, (gunrock::frontier::frontier_view_t)0> >(gunrock::graph::graph_t<(gunrock::memory::memory_space_t)0, int, int, float, gunrock::graph::graph_csr_t<(gunrock::memory::memory_space_t)0, int, int, float> >&, gunrock::frontier::frontier_t<int, int, (gunrock::frontier::frontier_kind_t)0, (gunrock::frontier::frontier_view_t)0>&, gunrock::gcuda::standard_context_t&, bool)::{lambda(unsigned long const&)#1}>, int*, int, thrust::plus<int> >(thrust::hip_rocprim::transform_input_iterator_t<int, thrust::counting_iterator<unsigned long, thrust::use_default, thrust::use_default, thrust::use_default>, gunrock::operators::advance::compute_output_length<gunrock::graph::graph_t<(gunrock::memory::memory_space_t)0, int, int, float, gunrock::graph::graph_csr_t<(gunrock::memory::memory_space_t)0, int, int, float> >, gunrock::frontier::frontier_t<int, int, (gunrock::frontier::frontier_kind_t)0, (gunrock::frontier::frontier_view_t)0> >(gunrock::graph::graph_t<(gunrock::memory::memory_space_t)0, int, int, float, gunrock::graph::graph_csr_t<(gunrock::memory::memory_space_t)0, int, int, float> >&, gunrock::frontier::frontier_t<int, int, (gunrock::frontier::frontier_kind_t)0, (gunrock::frontier::frontier_view_t)0>&, gunrock::gcuda::standard_context_t&, bool)::{lambda(unsigned long const&)#1}>, unsigned long, int*, int, thrust::plus<int>) [clone .kd]",169,862088,5101,1.4368723648396555
"void thrust::hip_rocprim::__parallel_for::kernel<256u, thrust::hip_rocprim::__transform::unary_transform_f<thrust::counting_iterator<long, thrust::use_default, thrust::use_default, thrust::use_default>, thrust::device_ptr<int>, thrust::hip_rocprim::__transform::no_stencil_tag, thrust::hip_rocprim::fill_n<thrust::hip_rocprim::par_t, thrust::device_ptr<int>, long, int>(thrust::hip_rocprim::execution_policy<thrust::hip_rocprim::par_t>&, thrust::device_ptr<int>, long, int const&)::{lambda(long)#1}, thrust::hip_rocprim::__transform::always_true_predicate>, long, 1u>(thrust::hip_rocprim::__transform::unary_transform_f<thrust::counting_iterator<long, thrust::use_default, thrust::use_default, thrust::use_default>, thrust::device_ptr<int>, thrust::hip_rocprim::__transform::no_stencil_tag, thrust::hip_rocprim::fill_n<thrust::hip_rocprim::par_t, thrust::device_ptr<int>, long, int>(thrust::hip_rocprim::execution_policy<thrust::hip_rocprim::par_t>&, thrust::device_ptr<int>, long, int const&)::{lambda(long)#1}, thrust::hip_rocprim::__transform::always_true_predicate>, long, long) [clone .kd]",3,205121,68373,0.3418823790010706
"void rocprim::detail::block_reduce_kernel<true, rocprim::detail::wrapped_reduce_config<rocprim::default_config, int>, int, int*, int*, int, thrust::plus<int> >(int*, unsigned long, int*, int, thrust::plus<int>) [clone .kd]",33,145441,4407,0.24241162574429098
"void rocprim::detail::block_reduce_kernel<false, rocprim::detail::wrapped_reduce_config<rocprim::default_config, int>, int, int*, int*, int, thrust::plus<int> >(int*, unsigned long, int*, int, thrust::plus<int>) [clone .kd]",11,55200,5018,0.09200377982195435
"void thrust::hip_rocprim::__parallel_for::kernel<256u, thrust::hip_rocprim::__uninitialized_copy::functor<thrust::detail::normal_iterator<thrust::device_ptr<int> >, thrust::pointer<int, thrust::hip_rocprim::tag, thrust::use_default, thrust::use_default> >, long, 1u>(thrust::hip_rocprim::__uninitialized_copy::functor<thrust::detail::normal_iterator<thrust::device_ptr<int> >, thrust::pointer<int, thrust::hip_rocprim::tag, thrust::use_default, thrust::use_default> >, long, long) [clone .kd]",1,4800,4800,0.008000328680169944
